,year,make,mileage,dealer_rating,days_listed,price,market_price,city,state
397,2008,Jeep,126640,5.0,56,7995,10222,Montour Falls,NY
398,2008,Honda,121351,4.5,144,7100,9146,Batavia,NY
399,2013,Ford,15100,5.0,44,17995,20227,Hornell,NY
400,2015,Nissan,22346,4.0,87,11901,13931,Canandaigua,NY
401,2012,Chevrolet,72729,4.0,172,8995,11181,Albion,NY
402,2014,Kia,46215,3.0,67,13593,16511,Oakfield,NY
403,2015,Kia,39810,4.5,13,16800,19163,Webster,NY
404,2012,Honda,86236,5.0,192,16986,19606,Orchard Park,NY
405,2010,Volkswagen,83937,5.0,80,9995,12037,Fairport,NY
406,2016,Kia,15999,3.0,37,13477,16468,Oakfield,NY
407,2010,Ford,100585,5.0,58,6500,8648,Hannibal,NY
408,2013,Volkswagen,46000,3.5,6,9900,12120,Camillus,NY
409,2008,Chevrolet,45224,4.0,4,9999,12555,Ithaca,NY
410,2014,Chevrolet,31325,5.0,44,15988,18276,Fulton,NY
411,2015,BMW,13068,4.0,22,65770,69939,Spencerport,NY
412,2011,Hyundai,75081,4.5,115,9995,12078,East Syracuse,NY
413,2013,Ford,39786,4.5,15,12800,14948,Batavia,NY
414,2013,Hyundai,32761,4.5,85,18932,21562,Getzville,NY
415,2010,Toyota,77000,3.0,70,7400,9502,Palmyra,NY
416,2010,Lincoln,67000,4.5,83,11400,13504,Rome,NY
417,2009,Mazda,93200,4.0,2,9995,12668,Webster,NY
418,2010,Chevrolet,73133,3.5,93,21950,25184,Mansfield,PA
419,2012,Dodge,40352,5.0,32,13990,16334,Elbridge,NY
420,2013,Kia,32965,4.5,476,14000,16169,Rochester,NY
421,2013,BMW,30184,4.0,49,31985,36356,Oswego,NY
422,2013,Ford,18539,5.0,140,24995,30276,Sayre,PA
423,2015,Nissan,16316,4.0,205,27888,31536,Williamsville,NY
424,2005,Honda,143700,5.0,13,4900,6826,Geneseo,NY
425,2011,Jeep,28971,4.0,93,23500,27105,Niagara Falls,NY
426,2012,Subaru,111000,4.0,113,8995,11079,Webster,NY
427,2015,Ford,33229,3.0,126,14988,18154,Oakfield,NY
428,2015,Infiniti,30158,5.0,14,25900,30210,Lockport,NY
429,2015,Ford,33367,3.5,172,25999,29327,Ithaca,NY
430,2013,Kia,46115,5.0,165,11990,13701,Rochester,NY
431,2014,Jeep,34266,4.0,8,11250,13681,Rochester,NY
432,2014,Mitsubishi,23376,4.5,4,14888,16794,East Syracuse,NY
433,2007,Ford,128532,4.5,21,9850,12244,Westmoreland,NY
434,2011,Jeep,56885,4.0,16,9999,12192,Wolcott,NY
435,2013,Scion,26960,3.0,52,10426,12597,Orchard Park,NY
436,2010,Chevrolet,77504,5.0,226,19352,22429,Canandaigua,NY
437,2009,Hyundai,100215,4.5,10,8995,11253,Baldwinsville,NY
438,2013,Hyundai,23501,4.5,80,19950,22553,Hamburg,NY
439,2012,Suzuki,42386,5.0,15,9550,11351,Buffalo,NY
440,2013,Ford,42478,4.5,190,17942,20858,Getzville,NY
441,2015,Dodge,9448,4.5,57,29995,33200,Cortland,NY
442,2013,Chevrolet,21280,5.0,25,25000,27981,Boston,NY
443,2012,Dodge,78560,4.0,4,17978,20636,Getzville,NY
444,2014,Nissan,26200,4.0,107,23900,27571,Batavia,NY
445,2014,GMC,19849,3.5,2,34980,38216,Lockport,NY
446,2011,Chevrolet,83332,3.0,113,3995,6495,Rochester,NY
447,2013,Ford,37276,3.5,53,19994,22880,Rochester,NY
448,2013,Jeep,36647,4.5,133,21000,23874,Great Valley,NY
449,2006,Infiniti,75553,4.0,163,9995,12417,Horseheads,NY
450,2009,Subaru,128000,4.0,49,6500,8621,Webster,NY
451,2014,Jeep,11390,3.5,90,12550,15115,Mansfield,PA
452,2012,GMC,72768,4.5,58,18400,21031,Rome,NY
453,2012,Buick,80420,3.5,4,17950,21143,Mansfield,PA
454,2009,Honda,56200,5.0,2,11500,13346,Groton,NY
455,2005,Acura,131000,4.0,1,5995,8039,Spencerport,NY
456,2008,Ford,70980,5.0,30,6450,8393,Cortland,NY
457,2006,Chevrolet,107618,4.0,98,11740,14979,Cicero,NY
458,2013,Honda,40030,4.5,16,11688,13142,Medina,NY
459,2010,Audi,72828,4.5,63,12995,15198,East Syracuse,NY
460,2012,Subaru,48425,3.0,60,18777,21251,Geneva,NY
461,2013,GMC,39267,4.5,45,15399,17212,Medina,NY
462,2013,Ford,54136,3.0,108,17557,20621,Oakfield,NY
463,2011,Subaru,116000,4.0,51,8995,11345,Webster,NY
